id,title,authors,average_rating,isbn,language_code,num_pages,publication_date,category,publisher,image_url,,,
1,The Hunger Games,J.K. Rowling/Mary GrandPré,4.57,439785960,eng,652,9/16/2006,Alternate history,Scholastic Inc.,https://images.gr-assets.com/books/1447303603m/2767052.jpg,,,
2,Harry Potter and the Philosopher's Stone,J.K. Rowling/Mary GrandPré,4.49,439358078,eng,870,9/1/2004,Anthology,Scholastic Inc.,https://images.gr-assets.com/books/1474154022m/3.jpg,,,
4,Twilight,J.K. Rowling,4.42,439554896,eng,352,11/1/2003,Chick lit,Scholastic,https://images.gr-assets.com/books/1361039443m/41865.jpg,,,
5,To Kill a Mockingbird,J.K. Rowling/Mary GrandPré,4.56,043965548X,eng,435,5/1/2004,Children's,Scholastic Inc.,https://images.gr-assets.com/books/1361975680m/2657.jpg,,,
8,The Great Gatsby,J.K. Rowling/Mary GrandPré,4.78,439682584,eng,2690,9/13/2004,Classic,Scholastic,https://images.gr-assets.com/books/1490528560m/4671.jpg,,,
9,The Fault in Our Stars,W. Frederick Zimmerman,3.74,976540606,en-US,152,4/26/2005,Comic book,Nimble Books,https://images.gr-assets.com/books/1360206420m/11870085.jpg,,,
10,The Hobbit or There and Back Again,J.K. Rowling,4.73,439827604,eng,3342,9/12/2005,Coming-of-age,Scholastic,https://images.gr-assets.com/books/1372847500m/5907.jpg,,,
12,The Catcher in the Rye,Douglas Adams,4.38,517226952,eng,815,11/1/2005,Crime,Gramercy Books,https://images.gr-assets.com/books/1398034300m/5107.jpg,,,
13,Angels & Demons ,Douglas Adams,4.38,345453743,eng,815,4/30/2002,Drama,Del Rey Books,https://images.gr-assets.com/books/1303390735m/960.jpg,,,
14,Pride and Prejudice,Douglas Adams,4.22,1400052920,eng,215,8/3/2004,Fairytale,Crown,https://images.gr-assets.com/books/1320399351m/1885.jpg,,,
16,The Kite Runner ,Douglas Adams/Stephen Fry,4.22,739322206,eng,6,3/23/2005,Fantasy,Random House Audio,https://images.gr-assets.com/books/1484565687m/77203.jpg,,,
18,Divergent,Douglas Adams,4.38,517149257,eng,815,1/17/1996,Graphic novel,Wings Books,https://images.gr-assets.com/books/1328559506m/13335037.jpg,,,
21,Nineteen Eighty-Four,Bill Bryson,4.21,076790818X,eng,544,9/14/2004,Historical fiction,Broadway Books,https://images.gr-assets.com/books/1348990566m/5470.jpg,,,
22,Animal Farm: A Fairy Story,Bill Bryson,3.44,767915062,eng,55,12/3/2002,Horror,Broadway Books,https://images.gr-assets.com/books/1424037542m/7613.jpg,,,
23,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,Bill Bryson,3.87,767910435,eng,256,9/14/2004,Mystery,Broadway Books,https://images.gr-assets.com/books/1358276407m/48855.jpg,,,
24,Män som hatar kvinnor,Bill Bryson,4.07,767903862,eng,335,5/15/2001,Paranormal romance,Broadway Books,https://images.gr-assets.com/books/1327868566m/2429135.jpg,,,
25,Catching Fire,Bill Bryson,3.9,076790382X,eng,304,6/28/2000,Picture book,Broadway Books,https://images.gr-assets.com/books/1358273780m/6148028.jpg,,,
26,Harry Potter and the Prisoner of Azkaban,Bill Bryson,3.83,60920084,eng,299,8/28/1990,Poetry,William Morrow Paperbacks,https://images.gr-assets.com/books/1499277281m/5.jpg,,,
27, The Fellowship of the Ring,Bill Bryson,3.86,380713802,eng,254,3/28/1993,Political thriller,William Morrow Paperbacks,https://images.gr-assets.com/books/1298411339m/34.jpg,,,
28,Mockingjay,Bill Bryson,3.91,380727501,eng,324,5/28/1997,Romance,William Morrow Paperbacks,https://images.gr-assets.com/books/1358275419m/7260188.jpg,,,
29,Harry Potter and the Order of the Phoenix,Bill Bryson,3.93,380715430,eng,270,9/28/1991,Satire,William Morrow Paperbacks,https://images.gr-assets.com/books/1387141547m/2.jpg,,,
30,The Lovely Bones,J.R.R. Tolkien,4.59,345538374,eng,1728,9/25/2012,Science fiction,Ballantine Books,https://images.gr-assets.com/books/1457810586m/12232938.jpg,,,
31,Harry Potter and the Chamber of Secrets,J.R.R. Tolkien,4.5,618517650,eng,1184,10/21/2004,Short story,Houghton Mifflin Harcourt,https://images.gr-assets.com/books/1474169725m/15881.jpg,,,
34,Harry Potter and the Goblet of Fire,J.R.R. Tolkien,4.36,618346252,eng,398,9/5/2003,Suspense,Houghton Mifflin Harcourt,https://images.gr-assets.com/books/1361482611m/6.jpg,,,
35,Harry Potter and the Deathly Hallows,J.R.R. Tolkien/Alan  Lee,4.5,618260587,en-US,1216,10/1/2002,Thriller,Houghton Mifflin Harcourt,https://images.gr-assets.com/books/1474171184m/136251.jpg,,,
36,The Da Vinci Code,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,618391002,eng,218,11/5/2003,Western,Houghton Mifflin Harcourt,https://images.gr-assets.com/books/1303252999m/968.jpg,,,
37,Harry Potter and the Half-Blood Prince,Jude Fisher,4.5,618510826,eng,224,11/15/2004,Young adult,Houghton Mifflin Harcourt,https://images.gr-assets.com/books/1361039191m/1.jpg,,,
45,Lord of the Flies ,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,097669400X,eng,558,7/28/2005,Art/architecture,Pragmatic Bookshelf,https://images.gr-assets.com/books/1327869409m/7624.jpg,,,
50,An Excellent conceited Tragedie of Romeo and Juliet,Gary Paulsen,3.72,689840926,eng,208,4/1/2000,Autobiography,Atheneum Books for Young Readers: Richard Jackson Books,https://images.gr-assets.com/books/1327872146m/18135.jpg,,,
51,Gone Girl,Donna Ickes/Edward Sciranko/Keith Vasconcelles,4,1557344493,eng,48,8/28/1994,Biography,Teacher Created Resources,https://images.gr-assets.com/books/1339602131m/8442457.jpg,,,
53,The Help,Gary Paulsen,3.88,385326505,eng,144,1/23/2001,Business/economics,Delacorte Press,https://images.gr-assets.com/books/1346100365m/4667024.jpg,,,
54,Of Mice and Men ,Molly Hatchet,4.33,1575606240,eng,56,6/10/2003,Crafts/hobbies,Cherry Lane Music Company,https://images.gr-assets.com/books/1437235233m/890.jpg,,,
55,Memoirs of a Geisha,Dale Peck,3.45,1595580271,en-US,228,11/1/2005,Cookbook,The New Press,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,,
57,Fifty Shades of Grey,Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,1595962808,eng,304,11/1/2005,Diary,Changeling Press,https://images.gr-assets.com/books/1385207843m/10818853.jpg,,,
58,O Alquimista,Delia Sherman,3.6,670059676,eng,256,8/17/2006,Dictionary,Viking Juvenile,https://images.gr-assets.com/books/1483412266m/865.jpg,,,
59,The Giver,Patricia A. McKillip,4.06,141312629,eng,137,4/14/2003,Encyclopedia,Firebird,https://images.gr-assets.com/books/1342493368m/3636.jpg,,,
61,"The Lion, the Witch and the Wardrobe",Zilpha Keatley Snyder,4.17,595321801,eng,228,6/8/2004,Guide,iUniverse,https://images.gr-assets.com/books/1353029077m/100915.jpg,,,
63,The Time Traveler's Wife,Kate Horsley,3.55,1590301943,eng,339,4/12/2005,Health/fitness,Shambhala,https://images.gr-assets.com/books/1437728815m/14050.jpg,,,
66,A Game of Thrones,Philippa Carr,3.98,449146979,eng,369,8/28/1990,History,Ivy Books,https://images.gr-assets.com/books/1436732693m/13496.jpg,,,
67,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",Edward P. Jones,3.83,61159174,eng,388,8/29/2006,Home and garden,Amistad,https://images.gr-assets.com/books/1503066414m/19501.jpg,,,
68,The Lightning Thief,Edward P. Jones/Kevin R. Free,3.83,006076273X,en-US,14,6/15/2004,Humor,HarperAudio,https://images.gr-assets.com/books/1400602609m/28187.jpg,,,
69,Little Women,Edward P. Jones,3.83,60749911,eng,576,6/15/2004,Journal,Harper,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,,
71,Jane Eyre,Satyajit Das,3.83,273704745,eng,334,5/15/2006,Math,FT Press,https://images.gr-assets.com/books/1327867269m/10210.jpg,,,
72,The Notebook,Mark Smylie,4.13,1932386106,eng,352,12/14/2005,Memoir,Archaia,https://images.gr-assets.com/books/1385738917m/15931.jpg,,,
74,Life of Pi,John McPhee/William Howarth,4.42,374517193,eng,416,6/1/1982,Philosophy,Farrar  Straus and Giroux,https://images.gr-assets.com/books/1320562005m/4214.jpg,,,
75,Water for Elephants,John McPhee,3.95,374280398,en-US,248,5/16/2006,Prayer,Farrar Straus Giroux,https://images.gr-assets.com/books/1494428973m/43641.jpg,,,
76,The Book Thief,John McPhee,4.17,374519749,eng,128,4/1/1986,"Religion, spirituality, and new age",Farrar  Straus and Giroux,https://images.gr-assets.com/books/1390053681m/19063.jpg,,,
77,Fahrenheit 451,John McPhee,4.24,374522596,en-US,288,9/1/1990,Textbook,Farrar  Straus and Giroux,https://images.gr-assets.com/books/1351643740m/4381.jpg,,,
78,"New Moon (Twilight, #2)",John McPhee,4.34,374518734,eng,720,1/6/1999,True crime,Farrar  Straus and Giroux,https://images.gr-assets.com/books/1361039440m/49041.jpg,,,
79,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,John McPhee,4.22,374522871,eng,448,4/1/1991,Review,Farrar  Straus and Giroux,https://images.gr-assets.com/books/1168052448m/30119.jpg,,,
80,City of Bones,John McPhee,3.92,374519323,fre,160,4/1/1994,Science,Farrar  Straus and Giroux,https://images.gr-assets.com/books/1432730315m/256683.jpg,,,
81,Eclipse,John McPhee,4.23,374516006,eng,288,4/1/1994,Self help,Farrar  Straus and Giroux,https://images.gr-assets.com/books/1361038355m/428263.jpg,,,
83,Eragon,John McPhee,4.23,374520658,eng,208,11/1/1987,Sports and leisure,Farrar  Straus and Giroux,https://images.gr-assets.com/books/1366212852m/113436.jpg,,,
85,The Hitchhiker's Guide to the Galaxy,Wendy Wasserstein,3.75,822205106,eng,81,3/1/2002,Travel,Dramatists Play Service,https://images.gr-assets.com/books/1327656754m/11.jpg,,,
86,Brave New World,Wendy Wasserstein,3.84,679734996,eng,249,7/2/1991,True crime,Vintage,https://images.gr-assets.com/books/1487389574m/5129.jpg,,,
89,Breaking Dawn,Heidi Hayes Jacobs,3.94,1596670231,eng,138,3/29/2006,Action and adventure,Routledge,https://images.gr-assets.com/books/1361039438m/1162543.jpg,,,
90,The Secret Life of Bees,Heidi Boyd,3.77,1581807740,en-US,128,3/14/2006,Alternate history,North Light Books,https://images.gr-assets.com/books/1473454532m/37435.jpg,,,
91,The Adventures of Huckleberry Finn,Heidi Baker/Rolland Baker,4.46,800793617,eng,192,9/1/2003,Anthology,Chosen Books,https://images.gr-assets.com/books/1405973850m/2956.jpg,,,
